"id","user_posted","name","description","date_posted","photos","url","quoted_post","tagged_users","replies","reposts","likes","views","external_url","hashtags","followers","biography","posts_count","profile_image_link","following","is_verified","quotes","bookmarks","parent_post_details","external_image_urls","videos","timestamp","input","discovery_input"
"1853867318180286898","RepLloydDoggett","Lloyd Doggett","Williamson Country residents: As long as you are in line to vote by 7 pm CT, you can make your voice heard; your vote will be counted. Check the wait times of different polling locations here and don’t forget to bring along your family and friends ⬇️","2024-11-05T18:29:46.000Z",,"https://x.com/RepLloydDoggett/status/1853867318180286898","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,1,3,6,440,"https://www.wilcotx.gov/elections",,48924,"Representing Austin in Congress. Leading Democrats on the Ways and Means Health Subcommittee. Cyclist, Longhorn, husband to Libby, father, grandfather.",18562,"https://pbs.twimg.com/profile_images/1497313405459484678/Lb6TUWWB_normal.jpg",1345,false,0,0,"{""post_id"":""1853867316854849706"",""profile_id"":""153944899"",""profile_name"":""RepLloydDoggett""}",,,"2024-11-06T04:15:43.961Z","{""url"":""https://twitter.com/153944899/status/1853867318180286898""}","{""url"":""https://x.com/RepLloydDoggett"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853874928644153777","RepRoKhanna","Rep. Ro Khanna","Over half of Americans believe most elected officials ran for office to make a profit.

It's time to pass my reform plan to:
-Banning stock trading by members of Congress
-Banning members from becoming lobbyists
-No PAC or lobbyist donations
-Term limits for Congress &amp; SCOTUS","2024-11-05T19:00:00.000Z",,"https://x.com/RepRoKhanna/status/1853874928644153777","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,32,36,210,6003,,,129952,"Silicon Valley's CA-17. New economic patriotism & restoring American manufacturing. Pro working families. Ending endless wars. No PAC $. He/Him.",14486,"https://pbs.twimg.com/profile_images/1236008748130406400/6RLY4LrX_normal.jpg",2439,false,6,2,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:44.532Z","{""url"":""https://twitter.com/816298918468259841/status/1853874928644153777""}","{""url"":""https://x.com/RepRoKhanna"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853817673202729198","RepWebster","Daniel Webster","🚨🚨🚨
""If anything, would you have done something differently than President Biden during the past four years?""

Kamala Harris: ""There is not a thing that comes to mind.""

The Biden-Harris Administration has CRUSHED Americans. We CANNOT afford another 4 years of a FAILED FAR","2024-11-05T15:12:30.000Z",,"https://x.com/RepWebster/status/1853817673202729198","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""15207668"",""profile_name"":""House Republicans"",""url"":""https://x.com/HouseGOP"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",0,262,0,,,,29751,"A family man and small-business owner who is dedicated to serving the citizens of Central Florida with honor and integrity.",5094,"https://pbs.twimg.com/profile_images/1362512985/Twitter_Pic_2_normal.png",333,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:44.828Z","{""url"":""https://twitter.com/281540744/status/1853817673202729198""}","{""url"":""https://x.com/RepWebster"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853888653342216582","RepPatRyanNY","Rep. Pat Ryan","From safeguarding Mifepristone with my Protecting Reproductive Freedom Act to combating the far-right's plans for a nationwide abortion ban by helping lead the Stop Comstock Act, let me be clear:

I will always fight to protect women's reproductive freedom.","2024-11-05T19:54:33.000Z","[""https://pbs.twimg.com/media/GbpV3_7XkAADd-M.jpg""]","https://x.com/RepPatRyanNY/status/1853888653342216582","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,0,6,18,872,,,7318,"Dad. Husband. Veteran. Former Ulster County Exec. Working to solve problems & deliver results for #NY18.",1684,"https://pbs.twimg.com/profile_images/1569785034567045122/7F2ybgq7_normal.jpg",347,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:44.937Z","{""url"":""https://twitter.com/1569400849130049537/status/1853888653342216582""}","{""url"":""https://x.com/RepPatRyanNY"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853777443363885283","RepDonBeyer","Rep. Don Beyer","Polls are now OPEN! 

You can vote at your assigned precinct until 7 p.m. You can also register same day. 

More details in our Guide to Election Day:","2024-11-05T12:32:38.000Z",,"https://x.com/RepDonBeyer/status/1853777443363885283","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""117211838"",""profile_name"":""Fairfax County Votes"",""url"":""https://x.com/fairfaxvotes"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",0,40,0,,,,109989,"Representing Northern Virginia’s #VA08 in the U.S. House, serving on @JECDems @WaysMeansCmte. Co-Chair of @CaucusOnClimate. He/Him/His",41751,"https://pbs.twimg.com/profile_images/1640835265496334338/oPtsI8lt_normal.jpg",4949,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:45.007Z","{""url"":""https://twitter.com/2962868158/status/1853777443363885283""}","{""url"":""https://x.com/RepDonBeyer"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853822910336557539","RepRaulRuizMD","Congressman Raul Ruiz, M.D.","Today is Election Day. Make a plan to vote and cast your ballot today. 
For more information, visit:","2024-11-05T15:33:18.000Z","[""https://pbs.twimg.com/media/GboaG_-XMAAgY8b.jpg"",""https://pbs.twimg.com/media/GboaHAHWQAA0doO.jpg""]","https://x.com/RepRaulRuizMD/status/1853822910336557539","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,2,3,4,342,"https://www.sos.ca.gov/elections",,29874,"Emergency medicine physician and public servant. Serving California's 25th Congressional District.",6159,"https://pbs.twimg.com/profile_images/1808176120631906304/obu8x9Hx_normal.jpg",311,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:44.986Z","{""url"":""https://twitter.com/1089859058/status/1853822910336557539""}","{""url"":""https://x.com/RepRaulRuizMD"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853869869017465296","RepRichHudson","Rep. Richard Hudson","Laken Riley 
Jocelyn Nungaray
Rachel Morin
Kayla Hamilton 

These innocent women were brutally murdered by illegals and Border Czar Kamala Harris did NOTHING to stop it.","2024-11-05T18:39:54.000Z",,"https://x.com/RepRichHudson/status/1853869869017465296","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,6,7,49,1976,,,27563,"Official Account of Congressman Richard Hudson (NC-09) 
Member of @HouseGOP Leadership & @HouseCommerce",10930,"https://pbs.twimg.com/profile_images/1345780278325817359/-SGkyzAX_normal.jpg",2954,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:45.033Z","{""url"":""https://twitter.com/935033864/status/1853869869017465296""}","{""url"":""https://x.com/RepRichHudson"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853803332189434260","RepRosendale","Matt Rosendale","In our country we have the right to vote, but we have the responsibility to cast an informed vote.

I urge all Montanans to go out and do their part today! 🇺🇸","2024-11-05T14:15:31.000Z",,"https://x.com/RepRosendale/status/1853803332189434260","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,11,21,118,1826,,,72437,"Representing the State of Montana. Husband, Father, Sportsman.",4161,"https://pbs.twimg.com/profile_images/1517167423534682112/ektN0Uw__normal.jpg",344,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:44.937Z","{""url"":""https://twitter.com/1344751420139040783/status/1853803332189434260""}","{""url"":""https://x.com/RepRosendale"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853842020227285483","RepHarshbarger","Rep. Diana Harshbarger","Two-thirds of Americans are living paycheck to paycheck.

Under this administration, the American dream grows further and further out of reach.","2024-11-05T16:49:14.000Z","[""https://pbs.twimg.com/media/GborfhpXIAAcz3v.jpg""]","https://x.com/RepHarshbarger/status/1853842020227285483","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,0,1,2,272,,,21418,"Proudly representing the great people of East Tennessee. Serving on @HouseCommerce.",2803,"https://pbs.twimg.com/profile_images/1686729094728208385/tHc8tPcS_normal.jpg",1130,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:45.355Z","{""url"":""https://twitter.com/1345787285179162624/status/1853842020227285483""}","{""url"":""https://x.com/RepHarshbarger"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
"1853805560828674131","RepShriThanedar","Congressman Shri Thanedar","Polls are now open across Michigan! 

Go make your voices heard for the future of our nation!   

Polls will be open until 8 PM. Go to","2024-11-05T14:24:22.000Z",,"https://x.com/RepShriThanedar/status/1853805560828674131","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,0,1,8,749,"https://mvic.sos.state.mi.us/Voter/index",,6524,"Proud Detroiter, Father, Grandfather, Scientist, Author and Congressman representing Michigan’s 13th District. #MI13",1041,"https://pbs.twimg.com/profile_images/1610721383389986824/67qM8-TM_normal.jpg",243,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"2024-11-06T04:15:45.482Z","{""url"":""https://twitter.com/1610719275265802253/status/1853805560828674131""}","{""url"":""https://x.com/RepShriThanedar"",""start_date"":""2024-11-05"",""end_date"":""2024-11-06""}"
